volume,book,line_count,syllable_band_8_12,band_percent,outlier_count,method,status
iliad,1,449,145,32.3,304,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,2,649,204,31.4,445,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,3,397,299,75.3,98,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,4,409,246,60.1,163,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,5,455,140,30.8,315,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,6,288,8,2.8,280,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,7,246,2,0.8,244,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,8,200,4,2.0,196,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,9,345,9,2.6,336,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,10,341,13,3.8,328,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,11,467,208,44.5,259,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,12,412,393,95.4,19,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,13,718,682,95.0,36,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,14,459,433,94.3,26,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,15,649,613,94.5,36,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,16,850,802,94.4,48,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,17,729,650,89.2,79,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,18,524,440,84.0,84,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,19,456,243,53.3,213,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,20,544,296,54.4,248,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,21,635,252,39.7,383,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,22,522,201,38.5,321,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,23,902,389,43.1,513,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
iliad,24,744,193,25.9,551,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,1,284,156,54.9,128,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,2,192,89,46.4,103,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,3,160,38,23.8,122,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,4,118,16,13.6,102,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,5,113,29,25.7,84,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,6,138,23,16.7,115,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,7,108,14,13.0,94,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,8,82,11,13.4,71,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,9,93,9,9.7,84,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,10,60,4,6.7,56,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,11,63,5,7.9,58,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,12,74,9,12.2,65,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,13,188,144,76.6,44,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,14,385,152,39.5,233,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,15,377,107,28.4,270,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,16,294,96,32.7,198,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,17,290,63,21.7,227,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,18,220,25,11.4,195,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,19,14,0,0.0,14,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,20,18,0,0.0,18,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,21,87,0,0.0,87,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,22,15,0,0.0,15,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,23,81,3,3.7,78,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
odyssey,24,93,3,3.2,90,heuristic syllable screen; stress and read-aloud cadence unverified,screening-only
